SIDO_NM,CCG_NM,구분,출처
부산광역시,동구,인구감소지역,"행정안전부 인구감소지역 지정 결과(89개), 2021.10 최초 지정"
부산광역시,서구,인구감소지역,"행정안전부 인구감소지역 지정 결과(89개), 2021.10 최초 지정"
부산광역시,영도구,인구감소지역,"행정안전부 인구감소지역 지정 결과(89개), 2021.10 최초 지정"
대구광역시,남구,인구감소지역,"행정안전부 인구감소지역 지정 결과(89개), 2021.10 최초 지정"
대구광역시,서구,인구감소지역,"행정안전부 인구감소지역 지정 결과(89개), 2021.10 최초 지정"
대구광역시,군위군,인구감소지역,"행정안전부 인구감소지역 지정 결과(89개), 2021.10 최초 지정"
인천광역시,강화군,인구감소지역,"행정안전부 인구감소지역 지정 결과(89개), 2021.10 최초 지정"
인천광역시,옹진군,인구감소지역,"행정안전부 인구감소지역 지정 결과(89개), 2021.10 최초 지정"
경기도,가평군,인구감소지역,"행정안전부 인구감소지역 지정 결과(89개), 2021.10 최초 지정"
경기도,연천군,인구감소지역,"행정안전부 인구감소지역 지정 결과(89개), 2021.10 최초 지정"
강원특별자치도,고성군,인구감소지역,"행정안전부 인구감소지역 지정 결과(89개), 2021.10 최초 지정"
강원특별자치도,삼척시,인구감소지역,"행정안전부 인구감소지역 지정 결과(89개), 2021.10 최초 지정"
강원특별자치도,양구군,인구감소지역,"행정안전부 인구감소지역 지정 결과(89개), 2021.10 최초 지정"
강원특별자치도,양양군,인구감소지역,"행정안전부 인구감소지역 지정 결과(89개), 2021.10 최초 지정"
강원특별자치도,영월군,인구감소지역,"행정안전부 인구감소지역 지정 결과(89개), 2021.10 최초 지정"
강원특별자치도,정선군,인구감소지역,"행정안전부 인구감소지역 지정 결과(89개), 2021.10 최초 지정"
강원특별자치도,철원군,인구감소지역,"행정안전부 인구감소지역 지정 결과(89개), 2021.10 최초 지정"
강원특별자치도,태백시,인구감소지역,"행정안전부 인구감소지역 지정 결과(89개), 2021.10 최초 지정"
강원특별자치도,평창군,인구감소지역,"행정안전부 인구감소지역 지정 결과(89개), 2021.10 최초 지정"
강원특별자치도,홍천군,인구감소지역,"행정안전부 인구감소지역 지정 결과(89개), 2021.10 최초 지정"
강원특별자치도,화천군,인구감소지역,"행정안전부 인구감소지역 지정 결과(89개), 2021.10 최초 지정"
강원특별자치도,횡성군,인구감소지역,"행정안전부 인구감소지역 지정 결과(89개), 2021.10 최초 지정"
충청북도,괴산군,인구감소지역,"행정안전부 인구감소지역 지정 결과(89개), 2021.10 최초 지정"
충청북도,단양군,인구감소지역,"행정안전부 인구감소지역 지정 결과(89개), 2021.10 최초 지정"
충청북도,보은군,인구감소지역,"행정안전부 인구감소지역 지정 결과(89개), 2021.10 최초 지정"
충청북도,영동군,인구감소지역,"행정안전부 인구감소지역 지정 결과(89개), 2021.10 최초 지정"
충청북도,옥천군,인구감소지역,"행정안전부 인구감소지역 지정 결과(89개), 2021.10 최초 지정"
충청북도,제천시,인구감소지역,"행정안전부 인구감소지역 지정 결과(89개), 2021.10 최초 지정"
충청남도,공주시,인구감소지역,"행정안전부 인구감소지역 지정 결과(89개), 2021.10 최초 지정"
충청남도,금산군,인구감소지역,"행정안전부 인구감소지역 지정 결과(89개), 2021.10 최초 지정"
충청남도,논산시,인구감소지역,"행정안전부 인구감소지역 지정 결과(89개), 2021.10 최초 지정"
충청남도,보령시,인구감소지역,"행정안전부 인구감소지역 지정 결과(89개), 2021.10 최초 지정"
충청남도,부여군,인구감소지역,"행정안전부 인구감소지역 지정 결과(89개), 2021.10 최초 지정"
충청남도,서천군,인구감소지역,"행정안전부 인구감소지역 지정 결과(89개), 2021.10 최초 지정"
충청남도,예산군,인구감소지역,"행정안전부 인구감소지역 지정 결과(89개), 2021.10 최초 지정"
충청남도,청양군,인구감소지역,"행정안전부 인구감소지역 지정 결과(89개), 2021.10 최초 지정"
충청남도,태안군,인구감소지역,"행정안전부 인구감소지역 지정 결과(89개), 2021.10 최초 지정"
전북특별자치도,고창군,인구감소지역,"행정안전부 인구감소지역 지정 결과(89개), 2021.10 최초 지정"
전북특별자치도,김제시,인구감소지역,"행정안전부 인구감소지역 지정 결과(89개), 2021.10 최초 지정"
전북특별자치도,남원시,인구감소지역,"행정안전부 인구감소지역 지정 결과(89개), 2021.10 최초 지정"
전북특별자치도,무주군,인구감소지역,"행정안전부 인구감소지역 지정 결과(89개), 2021.10 최초 지정"
전북특별자치도,부안군,인구감소지역,"행정안전부 인구감소지역 지정 결과(89개), 2021.10 최초 지정"
전북특별자치도,순창군,인구감소지역,"행정안전부 인구감소지역 지정 결과(89개), 2021.10 최초 지정"
전북특별자치도,임실군,인구감소지역,"행정안전부 인구감소지역 지정 결과(89개), 2021.10 최초 지정"
전북특별자치도,장수군,인구감소지역,"행정안전부 인구감소지역 지정 결과(89개), 2021.10 최초 지정"
전북특별자치도,정읍시,인구감소지역,"행정안전부 인구감소지역 지정 결과(89개), 2021.10 최초 지정"
전북특별자치도,진안군,인구감소지역,"행정안전부 인구감소지역 지정 결과(89개), 2021.10 최초 지정"
전라남도,강진군,인구감소지역,"행정안전부 인구감소지역 지정 결과(89개), 2021.10 최초 지정"
전라남도,고흥군,인구감소지역,"행정안전부 인구감소지역 지정 결과(89개), 2021.10 최초 지정"
전라남도,곡성군,인구감소지역,"행정안전부 인구감소지역 지정 결과(89개), 2021.10 최초 지정"
전라남도,구례군,인구감소지역,"행정안전부 인구감소지역 지정 결과(89개), 2021.10 최초 지정"
전라남도,담양군,인구감소지역,"행정안전부 인구감소지역 지정 결과(89개), 2021.10 최초 지정"
전라남도,보성군,인구감소지역,"행정안전부 인구감소지역 지정 결과(89개), 2021.10 최초 지정"
전라남도,신안군,인구감소지역,"행정안전부 인구감소지역 지정 결과(89개), 2021.10 최초 지정"
전라남도,영광군,인구감소지역,"행정안전부 인구감소지역 지정 결과(89개), 2021.10 최초 지정"
전라남도,영암군,인구감소지역,"행정안전부 인구감소지역 지정 결과(89개), 2021.10 최초 지정"
전라남도,완도군,인구감소지역,"행정안전부 인구감소지역 지정 결과(89개), 2021.10 최초 지정"
전라남도,장성군,인구감소지역,"행정안전부 인구감소지역 지정 결과(89개), 2021.10 최초 지정"
전라남도,장흥군,인구감소지역,"행정안전부 인구감소지역 지정 결과(89개), 2021.10 최초 지정"
전라남도,진도군,인구감소지역,"행정안전부 인구감소지역 지정 결과(89개), 2021.10 최초 지정"
전라남도,함평군,인구감소지역,"행정안전부 인구감소지역 지정 결과(89개), 2021.10 최초 지정"
전라남도,해남군,인구감소지역,"행정안전부 인구감소지역 지정 결과(89개), 2021.10 최초 지정"
전라남도,화순군,인구감소지역,"행정안전부 인구감소지역 지정 결과(89개), 2021.10 최초 지정"
경상북도,고령군,인구감소지역,"행정안전부 인구감소지역 지정 결과(89개), 2021.10 최초 지정"
경상북도,문경시,인구감소지역,"행정안전부 인구감소지역 지정 결과(89개), 2021.10 최초 지정"
경상북도,봉화군,인구감소지역,"행정안전부 인구감소지역 지정 결과(89개), 2021.10 최초 지정"
경상북도,상주시,인구감소지역,"행정안전부 인구감소지역 지정 결과(89개), 2021.10 최초 지정"
경상북도,성주군,인구감소지역,"행정안전부 인구감소지역 지정 결과(89개), 2021.10 최초 지정"
경상북도,안동시,인구감소지역,"행정안전부 인구감소지역 지정 결과(89개), 2021.10 최초 지정"
경상북도,영덕군,인구감소지역,"행정안전부 인구감소지역 지정 결과(89개), 2021.10 최초 지정"
경상북도,영양군,인구감소지역,"행정안전부 인구감소지역 지정 결과(89개), 2021.10 최초 지정"
경상북도,영주시,인구감소지역,"행정안전부 인구감소지역 지정 결과(89개), 2021.10 최초 지정"
경상북도,영천시,인구감소지역,"행정안전부 인구감소지역 지정 결과(89개), 2021.10 최초 지정"
경상북도,울릉군,인구감소지역,"행정안전부 인구감소지역 지정 결과(89개), 2021.10 최초 지정"
경상북도,울진군,인구감소지역,"행정안전부 인구감소지역 지정 결과(89개), 2021.10 최초 지정"
경상북도,의성군,인구감소지역,"행정안전부 인구감소지역 지정 결과(89개), 2021.10 최초 지정"
경상북도,청도군,인구감소지역,"행정안전부 인구감소지역 지정 결과(89개), 2021.10 최초 지정"
경상북도,청송군,인구감소지역,"행정안전부 인구감소지역 지정 결과(89개), 2021.10 최초 지정"
경상남도,거창군,인구감소지역,"행정안전부 인구감소지역 지정 결과(89개), 2021.10 최초 지정"
경상남도,고성군,인구감소지역,"행정안전부 인구감소지역 지정 결과(89개), 2021.10 최초 지정"
경상남도,남해군,인구감소지역,"행정안전부 인구감소지역 지정 결과(89개), 2021.10 최초 지정"
경상남도,밀양시,인구감소지역,"행정안전부 인구감소지역 지정 결과(89개), 2021.10 최초 지정"
경상남도,산청군,인구감소지역,"행정안전부 인구감소지역 지정 결과(89개), 2021.10 최초 지정"
경상남도,의령군,인구감소지역,"행정안전부 인구감소지역 지정 결과(89개), 2021.10 최초 지정"
경상남도,창녕군,인구감소지역,"행정안전부 인구감소지역 지정 결과(89개), 2021.10 최초 지정"
경상남도,하동군,인구감소지역,"행정안전부 인구감소지역 지정 결과(89개), 2021.10 최초 지정"
경상남도,함안군,인구감소지역,"행정안전부 인구감소지역 지정 결과(89개), 2021.10 최초 지정"
경상남도,함양군,인구감소지역,"행정안전부 인구감소지역 지정 결과(89개), 2021.10 최초 지정"
경상남도,합천군,인구감소지역,"행정안전부 인구감소지역 지정 결과(89개), 2021.10 최초 지정"
