"행정구역","2026년06월_총인구수","2026년06월_세대수","2026년06월_세대당 인구","2026년06월_남자 인구수","2026년06월_여자 인구수","2026년06월_남여 비율"
"서울특별시  (1100000000)","9,289,813","4,523,170","          2.05","4,471,801","4,818,012","          0.93"
"서울특별시 종로구 (1111000000)","136,318","72,503","          1.88","65,255","71,063","          0.92"
"서울특별시 중구 (1114000000)","117,558","63,882","          1.84","56,416","61,142","          0.92"
"서울특별시 용산구 (1117000000)","199,648","101,982","          1.96","94,807","104,841","          0.90"
"서울특별시 성동구 (1120000000)","274,517","133,771","          2.05","132,380","142,137","          0.93"
"서울특별시 광진구 (1121500000)","330,905","172,165","          1.92","158,151","172,754","          0.92"
"서울특별시 동대문구 (1123000000)","352,848","180,852","          1.95","171,755","181,093","          0.95"
"서울특별시 중랑구 (1126000000)","376,386","190,348","          1.98","183,583","192,803","          0.95"
"서울특별시 성북구 (1129000000)","421,762","199,807","          2.11","201,144","220,618","          0.91"
"서울특별시 강북구 (1130500000)","278,041","142,815","          1.95","133,590","144,451","          0.92"
"서울특별시 도봉구 (1132000000)","298,225","139,118","          2.14","143,845","154,380","          0.93"
"서울특별시 노원구 (1135000000)","481,053","217,498","          2.21","229,866","251,187","          0.92"
"서울특별시 은평구 (1138000000)","453,212","214,777","          2.11","214,139","239,073","          0.90"
"서울특별시 서대문구 (1141000000)","299,810","147,178","          2.04","141,189","158,621","          0.89"
"서울특별시 마포구 (1144000000)","356,487","180,580","          1.97","165,403","191,084","          0.87"
"서울특별시 양천구 (1147000000)","421,247","179,105","          2.35","204,885","216,362","          0.95"
"서울특별시 강서구 (1150000000)","548,515","274,577","          2.00","261,729","286,786","          0.91"
"서울특별시 구로구 (1153000000)","382,633","185,143","          2.07","186,738","195,895","          0.95"
"서울특별시 금천구 (1154500000)","222,503","122,059","          1.82","111,649","110,854","          1.01"
"서울특별시 영등포구 (1156000000)","371,867","193,619","          1.92","181,242","190,625","          0.95"
"서울특별시 동작구 (1159000000)","371,999","188,064","          1.98","179,484","192,515","          0.93"
"서울특별시 관악구 (1162000000)","477,797","291,311","          1.64","240,032","237,765","          1.01"
"서울특별시 서초구 (1165000000)","414,383","173,895","          2.38","196,662","217,721","          0.90"
"서울특별시 강남구 (1168000000)","552,830","244,779","          2.26","263,818","289,012","          0.91"
"서울특별시 송파구 (1171000000)","650,258","289,693","          2.24","311,081","339,177","          0.92"
"서울특별시 강동구 (1174000000)","499,011","223,649","          2.23","242,958","256,053","          0.95"
"부산광역시  (2600000000)","3,232,370","1,582,228","          2.04","1,570,097","1,662,273","          0.94"
"부산광역시 중구 (2611000000)","36,306","23,361","          1.55","17,580","18,726","          0.94"
"부산광역시 서구 (2614000000)","101,216","53,408","          1.90","48,407","52,809","          0.92"
"부산광역시 동구 (2617000000)","83,354","46,378","          1.80","40,508","42,846","          0.95"
"부산광역시 영도구 (2620000000)","100,570","53,232","          1.89","49,340","51,230","          0.96"
"부산광역시 부산진구 (2623000000)","364,912","189,725","          1.92","174,246","190,666","          0.91"
"부산광역시 동래구 (2626000000)","271,097","122,524","          2.21","130,313","140,784","          0.93"
"부산광역시 남구 (2629000000)","254,413","121,732","          2.09","123,416","130,997","          0.94"
"부산광역시 북구 (2632000000)","260,736","122,201","          2.13","127,667","133,069","          0.96"
"부산광역시 해운대구 (2635000000)","370,739","170,203","          2.18","177,281","193,458","          0.92"
"부산광역시 사하구 (2638000000)","282,159","139,149","          2.03","139,724","142,435","          0.98"
"부산광역시 금정구 (2641000000)","205,672","105,381","          1.95","99,854","105,818","          0.94"
"부산광역시 강서구 (2644000000)","153,555","66,669","          2.30","79,376","74,179","          1.07"
"부산광역시 연제구 (2647000000)","211,464","100,900","          2.10","100,606","110,858","          0.91"
"부산광역시 수영구 (2650000000)","168,440","87,903","          1.92","78,874","89,566","          0.88"
"부산광역시 사상구 (2653000000)","192,475","98,688","          1.95","96,004","96,471","          1.00"
"부산광역시 기장군 (2671000000)","175,262","80,774","          2.17","86,901","88,361","          0.98"
"대구광역시  (2700000000)","2,348,165","1,121,925","          2.09","1,149,388","1,198,777","          0.96"
"대구광역시 중구 (2711000000)","101,754","51,204","          1.99","48,626","53,128","          0.92"
"대구광역시 동구 (2714000000)","338,476","166,588","          2.03","165,217","173,259","          0.95"
"대구광역시 서구 (2717000000)","163,508","85,634","          1.91","80,849","82,659","          0.98"
"대구광역시 남구 (2720000000)","141,344","78,898","          1.79","67,179","74,165","          0.91"
"대구광역시 북구 (2723000000)","406,915","194,317","          2.09","201,176","205,739","          0.98"
"대구광역시 수성구 (2726000000)","408,147","177,891","          2.29","195,878","212,269","          0.92"
