"행정구역","2026년06월_계_총인구수","2026년06월_계_연령구간인구수","2026년06월_계_0~4세","2026년06월_계_5~9세","2026년06월_계_10~14세","2026년06월_계_15~19세","2026년06월_계_20~24세","2026년06월_계_25~29세","2026년06월_계_30~34세","2026년06월_계_35~39세","2026년06월_계_40~44세","2026년06월_계_45~49세","2026년06월_계_50~54세","2026년06월_계_55~59세","2026년06월_계_60~64세","2026년06월_계_65~69세","2026년06월_계_70~74세","2026년06월_계_75~79세","2026년06월_계_80~84세","2026년06월_계_85~89세","2026년06월_계_90~94세","2026년06월_계_95~99세","2026년06월_계_100세 이상","2026년06월_남_총인구수","2026년06월_남_연령구간인구수","2026년06월_남_0~4세","2026년06월_남_5~9세","2026년06월_남_10~14세","2026년06월_남_15~19세","2026년06월_남_20~24세","2026년06월_남_25~29세","2026년06월_남_30~34세","2026년06월_남_35~39세","2026년06월_남_40~44세","2026년06월_남_45~49세","2026년06월_남_50~54세","2026년06월_남_55~59세","2026년06월_남_60~64세","2026년06월_남_65~69세","2026년06월_남_70~74세","2026년06월_남_75~79세","2026년06월_남_80~84세","2026년06월_남_85~89세","2026년06월_남_90~94세","2026년06월_남_95~99세","2026년06월_남_100세 이상","2026년06월_여_총인구수","2026년06월_여_연령구간인구수","2026년06월_여_0~4세","2026년06월_여_5~9세","2026년06월_여_10~14세","2026년06월_여_15~19세","2026년06월_여_20~24세","2026년06월_여_25~29세","2026년06월_여_30~34세","2026년06월_여_35~39세","2026년06월_여_40~44세","2026년06월_여_45~49세","2026년06월_여_50~54세","2026년06월_여_55~59세","2026년06월_여_60~64세","2026년06월_여_65~69세","2026년06월_여_70~74세","2026년06월_여_75~79세","2026년06월_여_80~84세","2026년06월_여_85~89세","2026년06월_여_90~94세","2026년06월_여_95~99세","2026년06월_여_100세 이상"
"서울특별시  (1100000000)","9,289,813","9,289,813","205,692","247,573","342,817","373,358","482,097","750,190","811,049","658,722","667,381","688,325","726,675","734,530","652,860","663,676","495,400","355,040","240,815","133,669","47,744","10,731","1,469","4,471,801","4,471,801","105,307","127,516","175,628","189,265","224,051","350,384","403,918","329,983","330,984","338,861","357,845","359,954","316,468","308,823","225,379","157,184","102,209","50,787","14,473","2,465","317","4,818,012","4,818,012","100,385","120,057","167,189","184,093","258,046","399,806","407,131","328,739","336,397","349,464","368,830","374,576","336,392","354,853","270,021","197,856","138,606","82,882","33,271","8,266","1,152"
"서울특별시 종로구 (1111000000)","136,318","136,318","2,207","2,766","4,051","5,011","7,907","11,963","11,366","8,617","8,792","9,204","10,545","11,923","10,703","10,220","7,482","5,349","4,228","2,668","1,026","250","40","65,255","65,255","1,151","1,409","1,969","2,460","3,508","5,675","5,721","4,238","4,291","4,351","5,100","5,884","5,413","5,013","3,603","2,326","1,685","1,042","338","65","13","71,063","71,063","1,056","1,357","2,082","2,551","4,399","6,288","5,645","4,379","4,501","4,853","5,445","6,039","5,290","5,207","3,879","3,023","2,543","1,626","688","185","27"
"서울특별시 중구 (1114000000)","117,558","117,558","2,487","2,341","2,673","3,168","5,666","9,705","11,706","9,536","8,416","7,730","8,311","9,388","8,730","9,030","6,839","4,925","3,648","2,194","827","212","26","56,416","56,416","1,258","1,192","1,371","1,545","2,557","4,301","5,716","4,848","4,192","3,889","4,093","4,764","4,350","4,425","3,239","2,173","1,445","777","223","52","6","61,142","61,142","1,229","1,149","1,302","1,623","3,109","5,404","5,990","4,688","4,224","3,841","4,218","4,624","4,380","4,605","3,600","2,752","2,203","1,417","604","160","20"
"서울특별시 용산구 (1117000000)","199,648","199,648","4,747","4,990","5,993","6,576","9,480","16,107","20,383","16,581","15,083","13,813","15,223","16,184","14,368","13,480","9,630","6,794","5,125","3,368","1,358","307","58","94,807","94,807","2,393","2,526","3,088","3,287","4,034","7,240","9,793","8,162","7,544","6,711","7,279","7,907","7,116","6,524","4,465","2,975","2,018","1,218","415","93","19","104,841","104,841","2,354","2,464","2,905","3,289","5,446","8,867","10,590","8,419","7,539","7,102","7,944","8,277","7,252","6,956","5,165","3,819","3,107","2,150","943","214","39"
"서울특별시 성동구 (1120000000)","274,517","274,517","7,972","7,657","8,109","9,078","14,861","22,371","25,441","22,938","20,857","18,666","20,520","22,056","19,544","18,981","13,140","9,674","6,941","4,028","1,369","283","31","132,380","132,380","4,061","3,946","4,067","4,429","6,838","10,845","12,458","11,315","10,638","9,194","9,920","10,859","9,677","9,168","6,052","4,213","2,830","1,434","377","54","5","142,137","142,137","3,911","3,711","4,042","4,649","8,023","11,526","12,983","11,623","10,219","9,472","10,600","11,197","9,867","9,813","7,088","5,461","4,111","2,594","992","229","26"
"서울특별시 광진구 (1121500000)","330,905","330,905","5,914","7,351","10,640","12,165","20,035","34,168","33,441","23,633","22,746","23,040","24,506","26,100","23,144","22,773","16,103","11,242","7,636","4,343","1,549","332","44","158,151","158,151","3,019","3,760","5,432","6,042","9,018","15,579","16,523","11,849","11,113","11,283","11,940","12,578","11,342","10,730","7,359","5,027","3,276","1,739","455","75","12","172,754","172,754","2,895","3,591","5,208","6,123","11,017","18,589","16,918","11,784","11,633","11,757","12,566","13,522","11,802","12,043","8,744","6,215","4,360","2,604","1,094","257","32"
"서울특별시 동대문구 (1123000000)","352,848","352,848","8,859","9,085","10,730","12,579","24,257","31,286","30,548","25,691","24,559","23,881","25,713","27,004","24,027","24,907","18,610","13,474","9,868","5,482","1,850","386","52","171,755","171,755","4,612","4,545","5,495","6,276","10,814","15,066","15,281","13,182","12,591","12,138","12,966","13,506","12,081","11,898","8,628","5,892","4,041","2,045","591","96","11","181,093","181,093","4,247","4,540","5,235","6,303","13,443","16,220","15,267","12,509","11,968","11,743","12,747","13,498","11,946","13,009","9,982","7,582","5,827","3,437","1,259","290","41"
"서울특별시 중랑구 (1126000000)","376,386","376,386","7,935","8,271","10,864","12,014","16,236","27,857","33,171","26,092","25,010","25,336","27,917","32,881","32,020","32,399","23,219","15,996","10,833","5,891","1,948","436","60","183,583","183,583","4,018","4,234","5,615","6,117","7,652","13,018","16,636","13,514","12,973","13,213","14,005","15,996","15,680","15,518","10,898","7,071","4,516","2,239","569","91","10","192,803","192,803","3,917","4,037","5,249","5,897","8,584","14,839","16,535","12,578","12,037","12,123","13,912","16,885","16,340","16,881","12,321","8,925","6,317","3,652","1,379","345","50"
"서울특별시 성북구 (1129000000)","421,762","421,762","9,402","11,603","15,626","18,359","29,259","32,720","30,472","26,647","28,909","30,182","34,990","35,259","29,224","29,304","21,795","16,204","11,969","6,855","2,362","548","73","201,144","201,144","4,846","6,008","7,946","9,092","12,934","15,824","15,163","13,319","14,456","14,738","16,932","17,440","14,013","13,532","9,882","6,813","4,848","2,508","714","121","15","220,618","220,618","4,556","5,595","7,680","9,267","16,325","16,896","15,309","13,328","14,453","15,444","18,058","17,819","15,211","15,772","11,913","9,391","7,121","4,347","1,648","427","58"
"서울특별시 강북구 (1130500000)","278,041","278,041","4,052","5,311","7,900","9,758","14,484","19,079","19,201","15,147","16,836","18,968","22,937","25,210","23,214","24,505","18,503","14,385","10,545","5,759","1,814","388","45","133,590","133,590","2,026","2,741","4,082","4,886","6,269","9,172","10,026","7,998","8,847","9,834","11,538","12,285","11,301","11,423","8,178","6,002","4,189","2,131","569","83","10","144,451","144,451","2,026","2,570","3,818","4,872","8,215","9,907","9,175","7,149","7,989","9,134","11,399","12,925","11,913","13,082","10,325","8,383","6,356","3,628","1,245","305","35"
