지역,소멸위험지수,여성_20_39세,65세_이상,기준월,산식
강원특별자치도 강릉시,0.315,18359,58369,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
강원특별자치도 고성군,0.196,1911,9753,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
강원특별자치도 동해시,0.279,6543,23433,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
강원특별자치도 삼척시,0.224,4463,19952,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
강원특별자치도 속초시,0.319,6747,21146,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
강원특별자치도 양구군,0.282,1660,5891,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
강원특별자치도 양양군,0.16,1648,10299,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
강원특별자치도 영월군,0.138,1934,14054,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
강원특별자치도 원주시,0.531,40649,76544,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
강원특별자치도 인제군,0.293,2539,8679,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
강원특별자치도 정선군,0.155,2011,12956,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
